timestamp;total;HYDROGEL_PACK;VELVETFRUIT_EXTRACT;VEV_4000;VEV_4500;VEV_5000;VEV_5100;VEV_5200;VEV_5300;VEV_5400;VEV_5500;VEV_6000;VEV_6500
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100;-142.0;-142.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
200;-472.0;-472.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300;-910.0;-910.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;-1180.0;-1180.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
500;-1121.0;-1121.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
600;-958.0;-958.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
700;-958.0;-958.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800;-1284.0;-1284.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
900;-1447.0;-1447.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;-1773.0;-1773.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1100;-1294.0;-1294.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1200;-1376.5;-1376.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1300;-1459.0;-1459.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1400;-1294.0;-1294.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1500;-799.0;-799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1600;-799.0;-799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1700;-634.0;-634.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1800;-799.0;-799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1900;-1459.0;-1459.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2000;-1129.0;-1129.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2100;-1624.0;-1624.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2200;-1283.5;-1294.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.5;0.0;0.0
2300;-1459.0;-1459.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2400;-1294.0;-1294.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2500;-1799.5;-1789.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-10.5;0.0;0.0
2600;-1789.0;-1789.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2700;-1954.0;-1954.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2800;-2096.5;-2119.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.5;0.0;0.0
2900;-2036.5;-2036.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3000;-1129.0;-1129.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3100;-1646.5;-1624.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-22.5;0.0;0.0
3200;-1165.5;-1129.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-36.5;0.0;0.0
3300;-1178.0;-1129.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-49.0;0.0;0.0
3400;-610.5;-551.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-59.0;0.0;0.0
3500;-1031.5;-964.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-67.5;0.0;0.0
3600;-1208.5;-1129.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-79.5;0.0;0.0
3700;-887.5;-799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-88.5;0.0;0.0
3800;-1064.0;-964.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-100.0;0.0;0.0
3900;-911.0;-799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-112.0;0.0;0.0
4000;-756.0;-634.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-122.0;0.0;0.0
